ID;Ubicazione;Quantita
MATE038;CINI;5
MATE038;MANDELLI;0
MATE038;SALUTE;0
MATE038;PALAZZINA MARFISA;0
MATE038;MAGAZZINO;0
MATE038;VALIER;0
MATE038;TRIESTE;0
MATE039;LABORATORIO;25
MATE039;ZANARDI;0
MATE039;CINI;0
MATE039;MANDELLI;0
MATE039;SALUTE;0
MATE039;PALAZZINA MARFISA;0
MATE039;MAGAZZINO;0
MATE039;VALIER;0
MATE039;TRIESTE;0
MATE040;LABORATORIO;0
MATE040;ZANARDI;25
MATE040;CINI;0
MATE040;MANDELLI;0
MATE040;SALUTE;0
MATE040;PALAZZINA MARFISA;1
MATE040;MAGAZZINO;0
MATE040;VALIER;0
MATE040;TRIESTE;0
MATE041;LABORATORIO;3
MATE041;ZANARDI;2
MATE041;CINI;0
MATE041;MANDELLI;0
MATE041;SALUTE;0
MATE041;PALAZZINA MARFISA;0
MATE041;MAGAZZINO;0
MATE041;VALIER;0
MATE041;TRIESTE;1
MATE042;LABORATORIO;0
MATE042;ZANARDI;0
MATE042;CINI;0
MATE042;MANDELLI;0
MATE042;SALUTE;0
MATE042;PALAZZINA MARFISA;1
MATE042;MAGAZZINO;0
MATE042;VALIER;0
MATE042;TRIESTE;0
MATE043;LABORATORIO;0
MATE043;ZANARDI;0
MATE043;CINI;0
MATE043;MANDELLI;0
MATE043;SALUTE;0
MATE043;PALAZZINA MARFISA;0
MATE043;MAGAZZINO;0
MATE043;VALIER;0
MATE043;TRIESTE;0
MATE044;LABORATORIO;0
MATE044;ZANARDI;1,5
MATE044;CINI;0
MATE044;MANDELLI;0
MATE044;SALUTE;0
MATE044;PALAZZINA MARFISA;0,5
MATE044;MAGAZZINO;0
MATE044;VALIER;0
MATE044;TRIESTE;0
MATE045;LABORATORIO;0
MATE045;ZANARDI;50
MATE045;CINI;1
MATE045;MANDELLI;20
MATE045;SALUTE;0
MATE045;PALAZZINA MARFISA;0
MATE045;MAGAZZINO;0
MATE045;VALIER;0
MATE045;TRIESTE;0
MATE046;PALAZZINA MARFISA;50
MATE047;LABORATORIO;0
MATE047;ZANARDI;25
MATE047;CINI;0
MATE047;MANDELLI;0
MATE047;SALUTE;0
MATE047;PALAZZINA MARFISA;0
MATE047;MAGAZZINO;0
MATE047;VALIER;0
MATE047;TRIESTE;0
MATE048;LABORATORIO;0
MATE048;ZANARDI;6
MATE048;CINI;0
MATE048;MANDELLI;0
MATE048;SALUTE;0
MATE048;PALAZZINA MARFISA;0
MATE048;MAGAZZINO;0
MATE048;VALIER;0
MATE048;TRIESTE;0
MATE049;LABORATORIO;0
MATE049;ZANARDI;5
MATE049;CINI;0
MATE049;MANDELLI;0
MATE049;SALUTE;0
MATE049;PALAZZINA MARFISA;0
MATE049;MAGAZZINO;0
MATE049;VALIER;0
MATE049;TRIESTE;0
MATE050;LABORATORIO;5
MATE050;ZANARDI;6
MATE050;CINI;0
MATE050;MANDELLI;5
MATE050;SALUTE;0
MATE050;PALAZZINA MARFISA;0
MATE050;MAGAZZINO;0
MATE050;VALIER;0
MATE050;TRIESTE;0
MATE051;LABORATORIO;0
MATE051;ZANARDI;0,3
MATE051;CINI;0
MATE051;MANDELLI;0
MATE051;SALUTE;0
MATE051;PALAZZINA MARFISA;0
MATE051;MAGAZZINO;0
MATE051;VALIER;0
MATE051;TRIESTE;0
MATE052;LABORATORIO;0
MATE052;ZANARDI;1
MATE052;CINI;0
MATE052;MANDELLI;0
MATE052;SALUTE;0
MATE052;PALAZZINA MARFISA;0
MATE052;MAGAZZINO;0
MATE052;VALIER;0
MATE052;TRIESTE;0
MATE053;LABORATORIO;0
MATE053;ZANARDI;1
MATE053;CINI;0
MATE053;MANDELLI;1
MATE053;SALUTE;0
MATE053;PALAZZINA MARFISA;0
MATE053;MAGAZZINO;0
MATE053;VALIER;0
MATE053;TRIESTE;0
MATE054;LABORATORIO;80
MATE054;ZANARDI;0
MATE054;CINI;0
MATE054;MANDELLI;0
MATE054;SALUTE;0
MATE054;PALAZZINA MARFISA;0
MATE054;MAGAZZINO;0
MATE054;VALIER;0
MATE054;TRIESTE;0
MATE055;LABORATORIO;0
MATE055;ZANARDI;1
MATE055;CINI;0
MATE055;MANDELLI;0
MATE055;SALUTE;0
MATE055;PALAZZINA MARFISA;0
MATE055;MAGAZZINO;0
MATE055;VALIER;0
MATE055;TRIESTE;0
MATE056;LABORATORIO;0
MATE056;ZANARDI;2,5
MATE056;CINI;0
MATE056;MANDELLI;0
MATE056;SALUTE;2,5
MATE056;PALAZZINA MARFISA;0
MATE056;MAGAZZINO;0
MATE056;VALIER;0
MATE056;TRIESTE;0
MATE057;LABORATORIO;0,5
MATE057;ZANARDI;0
MATE057;CINI;0
MATE057;MANDELLI;0
MATE057;SALUTE;0
MATE057;PALAZZINA MARFISA;0
MATE057;MAGAZZINO;0
MATE057;VALIER;0
MATE057;TRIESTE;0
MATE058;LABORATORIO;0
MATE058;ZANARDI;15
MATE058;CINI;0
MATE058;MANDELLI;0
MATE058;SALUTE;0,5
MATE058;PALAZZINA MARFISA;11
MATE058;MAGAZZINO;0
MATE058;VALIER;0
MATE058;TRIESTE;0
MATE059;LABORATORIO;1
MATE059;ZANARDI;0
MATE059;CINI;0
MATE059;MANDELLI;0
MATE059;SALUTE;0
MATE059;PALAZZINA MARFISA;0
MATE059;MAGAZZINO;0
MATE059;VALIER;0
MATE059;TRIESTE;0
MATE060;LABORATORIO;0
MATE060;ZANARDI;0
MATE060;CINI;0
MATE060;MANDELLI;2
MATE060;SALUTE;0
MATE060;PALAZZINA MARFISA;7,5
MATE060;MAGAZZINO;0
MATE060;VALIER;0
MATE060;TRIESTE;0,4
MATE061;LABORATORIO;0
MATE061;ZANARDI;1
MATE061;CINI;0
MATE061;MANDELLI;0
MATE061;SALUTE;0
MATE061;PALAZZINA MARFISA;0
MATE061;MAGAZZINO;0
MATE061;VALIER;0
MATE061;TRIESTE;0
MATE062;LABORATORIO;0
MATE062;ZANARDI;15
MATE062;CINI;0
MATE062;MANDELLI;0
MATE062;SALUTE;0
MATE062;PALAZZINA MARFISA;0
MATE062;MAGAZZINO;0
MATE062;VALIER;0
MATE062;TRIESTE;0
MATE063;LABORATORIO;0
MATE063;ZANARDI;0,5
MATE063;CINI;0
MATE063;MANDELLI;0
MATE063;SALUTE;0
MATE063;PALAZZINA MARFISA;0
MATE063;MAGAZZINO;0
MATE063;VALIER;0
MATE063;TRIESTE;0
MATE064;LABORATORIO;1,25
MATE064;ZANARDI;0
MATE064;CINI;0
MATE064;MANDELLI;0
MATE064;SALUTE;0
MATE064;PALAZZINA MARFISA;0
MATE064;MAGAZZINO;0
MATE064;VALIER;0
MATE064;TRIESTE;0
MATE065;LABORATORIO;1,5
MATE065;ZANARDI;0
MATE065;CINI;0
MATE065;MANDELLI;0
MATE065;SALUTE;0
MATE065;PALAZZINA MARFISA;0
MATE065;MAGAZZINO;0
MATE065;VALIER;0
MATE065;TRIESTE;0
MATE066;LABORATORIO;0,5
MATE066;ZANARDI;0
MATE066;CINI;1
MATE066;MANDELLI;0
MATE066;SALUTE;0
MATE066;PALAZZINA MARFISA;0
MATE066;MAGAZZINO;0
MATE066;VALIER;0
MATE066;TRIESTE;0
MATE067;LABORATORIO;0
MATE067;ZANARDI;0
MATE067;CINI;1
MATE067;MANDELLI;0
MATE067;SALUTE;0
MATE067;PALAZZINA MARFISA;0
MATE067;MAGAZZINO;0
MATE067;VALIER;0
MATE067;TRIESTE;0
MATE068;LABORATORIO;0
MATE068;ZANARDI;6
MATE068;CINI;0
MATE068;MANDELLI;0
MATE068;SALUTE;0
MATE068;PALAZZINA MARFISA;0
MATE068;MAGAZZINO;0
MATE068;VALIER;0
MATE068;TRIESTE;0
MATE069;LABORATORIO;0
MATE069;ZANARDI;6
MATE069;CINI;0
MATE069;MANDELLI;0
MATE069;SALUTE;0
MATE069;PALAZZINA MARFISA;1
MATE069;MAGAZZINO;0
MATE069;VALIER;0
MATE069;TRIESTE;0
MATE070;LABORATORIO;0
MATE070;ZANARDI;20
MATE070;CINI;0
MATE070;MANDELLI;25
MATE070;SALUTE;1
MATE070;PALAZZINA MARFISA;0
MATE070;MAGAZZINO;0
MATE070;VALIER;0
MATE070;TRIESTE;0
MATE071;LABORATORIO;0
MATE071;ZANARDI;2
MATE071;CINI;0
MATE071;MANDELLI;0
MATE071;SALUTE;0
MATE071;PALAZZINA MARFISA;0
MATE071;MAGAZZINO;0
MATE071;VALIER;0
MATE071;TRIESTE;0
MATE072;LABORATORIO;2
MATE072;ZANARDI;0
MATE072;CINI;0
MATE072;MANDELLI;0
MATE072;SALUTE;0
MATE072;PALAZZINA MARFISA;0
MATE072;MAGAZZINO;0
MATE072;VALIER;0
MATE072;TRIESTE;0
MATE073;LABORATORIO;1
MATE073;ZANARDI;0
MATE073;CINI;0
MATE073;MANDELLI;0
MATE073;SALUTE;0
MATE073;PALAZZINA MARFISA;0
MATE073;MAGAZZINO;0
MATE073;VALIER;0
MATE073;TRIESTE;0
MATE074;LABORATORIO;0
MATE074;ZANARDI;0
MATE074;CINI;0
MATE074;MANDELLI;0
MATE074;SALUTE;0
MATE074;PALAZZINA MARFISA;1
MATE074;MAGAZZINO;0
MATE074;VALIER;0
MATE074;TRIESTE;0
MATE075;LABORATORIO;0
MATE075;ZANARDI;0,5
MATE075;CINI;0
MATE075;MANDELLI;0
MATE075;SALUTE;0
MATE075;PALAZZINA MARFISA;0
MATE075;MAGAZZINO;0
MATE075;VALIER;0
MATE075;TRIESTE;0
MATE076;LABORATORIO;0
MATE076;ZANARDI;2
MATE076;CINI;0
MATE076;MANDELLI;0
MATE076;SALUTE;0
MATE076;PALAZZINA MARFISA;0
MATE076;MAGAZZINO;0
MATE076;VALIER;0
MATE076;TRIESTE;0
MATE077;LABORATORIO;0
MATE077;ZANARDI;3
MATE077;CINI;0
MATE077;MANDELLI;0
MATE077;SALUTE;0
MATE077;PALAZZINA MARFISA;1
MATE077;MAGAZZINO;0
MATE077;VALIER;0
MATE077;TRIESTE;0
MATE078;LABORATORIO;0
MATE078;ZANARDI;0
MATE078;CINI;1
MATE078;MANDELLI;0
MATE078;SALUTE;0
MATE078;PALAZZINA MARFISA;0
MATE078;MAGAZZINO;0
MATE078;VALIER;0
MATE078;TRIESTE;0
MATE079;LABORATORIO;1
MATE079;ZANARDI;0
MATE079;CINI;0
MATE079;MANDELLI;0
MATE079;SALUTE;0
MATE079;PALAZZINA MARFISA;0
MATE079;MAGAZZINO;0
MATE079;VALIER;0
MATE079;TRIESTE;0
MATE080;LABORATORIO;5
MATE080;ZANARDI;0
MATE080;CINI;5
MATE080;MANDELLI;0
MATE080;SALUTE;0
MATE080;PALAZZINA MARFISA;0
MATE080;MAGAZZINO;0
MATE080;VALIER;0
MATE080;TRIESTE;0
MATE081;LABORATORIO;4
MATE081;ZANARDI;8
MATE081;CINI;0
MATE081;MANDELLI;0
MATE081;SALUTE;2
MATE081;PALAZZINA MARFISA;0
MATE081;MAGAZZINO;0
MATE081;VALIER;0
MATE081;TRIESTE;0
MATE082;LABORATORIO;1
MATE082;ZANARDI;0
MATE082;CINI;0
MATE082;MANDELLI;0
MATE082;SALUTE;0
MATE082;PALAZZINA MARFISA;0
MATE082;MAGAZZINO;0
MATE082;VALIER;0
MATE082;TRIESTE;0
MATE083;LABORATORIO;0
MATE083;ZANARDI;0
MATE083;CINI;0
MATE083;MANDELLI;0
MATE083;SALUTE;0
MATE083;PALAZZINA MARFISA;15
MATE083;MAGAZZINO;0
MATE083;VALIER;0
MATE083;TRIESTE;0
MATE084;LABORATORIO;4
MATE084;ZANARDI;0
MATE084;CINI;0
MATE084;MANDELLI;0
MATE084;SALUTE;0
MATE084;PALAZZINA MARFISA;0
MATE084;MAGAZZINO;0
MATE084;VALIER;0
MATE084;TRIESTE;0
MATE085;LABORATORIO;0
MATE085;ZANARDI;30
MATE085;CINI;0
MATE085;MANDELLI;0
MATE085;SALUTE;0
MATE085;PALAZZINA MARFISA;0
MATE085;MAGAZZINO;0
MATE085;VALIER;0
MATE085;TRIESTE;0
MATE086;LABORATORIO;1
MATE086;ZANARDI;0
MATE086;CINI;0
MATE086;MANDELLI;0
MATE086;SALUTE;0
MATE086;PALAZZINA MARFISA;0
MATE086;MAGAZZINO;0
MATE086;VALIER;0
MATE086;TRIESTE;0
MATE087;LABORATORIO;0,5
MATE087;ZANARDI;0
MATE087;CINI;0
MATE087;MANDELLI;0
MATE087;SALUTE;0
MATE087;PALAZZINA MARFISA;0
MATE087;MAGAZZINO;0
MATE087;VALIER;0
MATE087;TRIESTE;0
MATE088;LABORATORIO;1
MATE088;ZANARDI;0
MATE088;CINI;0
MATE088;MANDELLI;0
MATE088;SALUTE;0
MATE088;PALAZZINA MARFISA;0
MATE088;MAGAZZINO;0
MATE088;VALIER;0
